flipkart_brand,flipkart_price
Redmi Note 7 Pro (Neptune Blue 64 GB),13999
Redmi Note 7 Pro (Space Black 64 GB),13999
Redmi Note 7 Pro (Nebula Red 64 GB),13999
Vivo V15 (Aqua Blue 64 GB),19990
Redmi Note 7 Pro (Neptune Blue 128 GB),16999
Nokia 6.1 (Blue Gold 64 GB),11690
Redmi Note 7 Pro (Space Black 128 GB),16999
Realme 3 Pro (Nitro Blue 64 GB),15999
Realme 3 Pro (Lightning Purple 64 GB),15999
Realme 3 Pro (Lightning Purple 128 GB),16999
Asus ZenFone Max Pro M2 (Blue 32 GB),9999
Realme 3 Pro (Nitro Blue 64 GB),13999
Realme 3 (Dynamic Black 64 GB),10999
I Kall K8 NEW (Blue 16 GB),3849
Redmi 6 (Gold 64 GB),8499
Realme C1 (Mirror Black 32 GB),8499
Realme C1 (Mirror Black 32 GB),7499
Redmi 6 (Blue 64 GB),8499
Honor 7A (Blue 32 GB),7499
I Kall K74,382
POCO F1 by Xiaomi (Steel Blue 128 GB),20999
Redmi 6 (Black 64 GB),8499
Redmi Go (Blue 8 GB),4499
I Kall K10 (Gold 16 GB),4599
