,amazon_brand,amazon_price,flipkart_brand,flipkart_price
0,Redmi 6 Pro (Black 4GB RAM 64GB Storage),10999.0,Redmi Note 7 Pro (Neptune Blue 64 GB),13999
1,Redmi 6A (Black 2GB RAM 16GB Storage),5999.0,Redmi Note 7 Pro (Space Black 64 GB),13999
2,Redmi 6 Pro (Black 3GB RAM 32GB Storage),8999.0,Redmi Note 7 Pro (Nebula Red 64 GB),13999
3,Honor 9N (Blue 4GB RAM 64GB Storage),9999.0,Vivo V15 (Aqua Blue 64 GB),19990
4,Samsung Guru Music 2 SM-B310E (White),1625.0,Redmi Note 7 Pro (Neptune Blue 128 GB),16999
5,Mi A2 (Black 6GB RAM 128GB Storage),15999.0,Nokia 6.1 (Blue Gold 64 GB),11690
6,Redmi 7 (Lunar Red 2GB RAM 32GB Storage),7999.0,Redmi Note 7 Pro (Space Black 128 GB),16999
7,Moto E5 Plus (Black 3GB RAM 32GB Storage),8091.0,Realme 3 Pro (Nitro Blue 64 GB),15999
8,Mi Redmi 6 (Blue 3GB RAM 64GB Storage),7930.0,Realme 3 Pro (Lightning Purple 64 GB),15999
9,Redmi Y2 (Black 3GB RAM 32GB Storage),8799.0,Realme 3 Pro (Lightning Purple 128 GB),16999
10,Samsung Galaxy M10 (Ocean Blue 3+32GB),8990.0,Asus ZenFone Max Pro M2 (Blue 32 GB),9999
11,Samsung Galaxy M20 (Ocean Blue 4+64GB),11990.0,Realme 3 Pro (Nitro Blue 64 GB),13999
12,Redmi Note 7S (Onyx Black 64GB 4GB RAM),14890.0,Realme 3 (Dynamic Black 64 GB),10999
13,Nokia 105 (Black),1036.0,I Kall K8 NEW (Blue 16 GB),3849
14,OPPO Reno (Ocean Green 8GB RAM 128 GB Storage) with No Cost EMI/Additional Exchange Offers,32990.0,Redmi 6 (Gold 64 GB),8499
15,OnePlus 6T (Mirror Black 6GB RAM 128GB Storage),29999.0,Realme C1 (Mirror Black 32 GB),8499
16,,,Realme C1 (Mirror Black 32 GB),7499
17,,,Redmi 6 (Blue 64 GB),8499
18,,,Honor 7A (Blue 32 GB),7499
19,,,I Kall K74,382
20,,,POCO F1 by Xiaomi (Steel Blue 128 GB),20999
21,,,Redmi 6 (Black 64 GB),8499
22,,,Redmi Go (Blue 8 GB),4499
23,,,I Kall K10 (Gold 16 GB),4599
